Farago', Cagliari, defender, 7
Faraoni, Verona, defender, 16
Farelli, Roma, goalkeeper, 1
Fares, Lazio, defender, 7
Farias, Spezia, forward, 13
Favilli, Verona, forward, 13
Fazio, Roma, defender, 10
Ferigra, Torino, defender, 1
Ferrari A, Sampdoria, defender, 5
Ferrari G, Sassuolo, defender, 11
Ferrer, Spezia, defender, 5
Festa, Crotone, goalkeeper, 1
Forestieri, Udinese, forward, 12
Foulon, Benevento, defender, 5
Frabotta, Juventus, defender, 5
Freuler, Atalanta, midfielder, 22
Fuzato, Roma, goalkeeper, 1
Gabbia, Milan, defender, 5
Gabbiadini, Sampdoria, forward, 20
Gagliardini, Inter, midfielder, 15
Gagliolo, Parma, defender, 14
Galabinov, Spezia, forward, 14
Gasparini, Udinese, goalkeeper, 1
Gazzola, Parma, defender, 3
Gervinho, Parma, forward, 24
Ghiglione, Genoa, defender, 9
Ghoulam, Napoli, defender, 12
Glik, Benevento, defender, 12
Godin, Cagliari, defender, 17
Gojak, Torino, midfielder, 11
Goldaniga, Genoa, defender, 8
Golemic, Crotone, defender, 10
Gollini, Atalanta, goalkeeper, 21
Gomelt, Crotone, midfielder, 2
Gomez A, Atalanta, midfielder, 29
Gori, Benevento, goalkeeper, 1
Gosens, Atalanta, defender, 32
Grassi, Parma, midfielder, 7
Gunter, Verona, defender, 8
Gyabuaa, Atalanta, midfielder, 1
Gyasi, Spezia, forward, 12
Hakimi, Inter, defender, 33
Handanovic, Inter, goalkeeper, 20
Haraslin, Sassuolo, forward, 8
Hateboer, Atalanta, defender, 17
Hauge, Milan, forward, 12
Henrique E, Crotone, midfielder, 6
Hernandez T, Milan, defender, 30
Hernani, Parma, midfielder, 13
Hetemaj, Benevento, midfielder, 8
Hickey, Bologna, defender, 6
Hoedt, Lazio, defender, 6
Hysaj, Napoli, defender, 10
Iacoponi, Parma, defender, 8
Iago Falque, Benevento, forward, 17
Ibanez, Roma, defender, 9
Ibrahimovic, Milan, forward, 45
Igor, Fiorentina, defender, 9
Ilic, Verona, midfielder, 7
Ilicic, Atalanta, forward, 35
Immobile, Lazio, forward, 46
Improta, Benevento, midfielder, 11
Inglese, Parma, forward, 14
Insigne, Napoli, forward, 33
Insigne R, Benevento, forward, 15
Ionita, Benevento, midfielder, 10
Ismajli, Spezia, defender, 5
Izzo, Torino, defender, 18
Jajalo, Udinese, midfielder, 7
Jankto, Sampdoria, midfielder, 20
Joao Pedro, Cagliari, forward, 34
Jocic, Verona, midfielder, 1
Juan Jesus, Roma, defender, 4
Juwara, Bologna, forward, 4
Kalinic, Verona, forward, 17
Kalulu, Milan, defender, 5
Karamoh, Parma, forward, 10
Karsdorp, Roma, defender, 10
Keita B, Sampdoria, forward, 18
Kessie, Milan, midfielder, 27
Khailoti, Bologna, defender, 1
Khedira, Juventus, midfielder, 8
Kingsley, Bologna, midfielder, 1
Kiyine, Lazio, midfielder, 6
Kjaer, Milan, defender, 14
Klavan, Cagliari, defender, 6
Kolarov, Inter, defender, 19
Kouame, Fiorentina, forward, 16
Koulibaly, Napoli, defender, 17
Krapikas, Spezia, goalkeeper, 1
Krunic, Milan, midfielder, 7
Kucka, Parma, midfielder, 19
Kulusevski, Juventus, midfielder, 28
Kumbulla, Roma, defender, 15
Kurtic, Parma, midfielder, 14
Kyriakopoulos, Sassuolo, defender, 8
La Gumina, Sampdoria, forward, 8
Lammers, Atalanta, forward, 16
Lapadula, Benevento, forward, 19
Laribi, Verona, midfielder, 5
Larsen, Udinese, defender, 12
Lasagna, Udinese, forward, 18
Laurini, Parma, defender, 4
Lazovic, Verona, midfielder, 14
Lazzari M, Lazio, defender, 15
Leao, Milan, forward, 24
Lerager, Genoa, midfielder, 8
Leris, Sampdoria, midfielder, 7
Letica, Sampdoria, goalkeeper, 1
Letizia, Benevento, defender, 16
Linetty, Torino, midfielder, 13
Llorente, Napoli, forward, 10
Lobotka, Napoli, midfielder, 10
Locatelli M, Sassuolo, midfielder, 17
Lopez M, Sassuolo, midfielder, 12
Lovato, Verona, defender, 4
Lozano, Napoli, forward, 27
Lucas Leiva, Lazio, midfielder, 11
Lucatelli, Benevento, goalkeeper, 1
Luis Alberto, Lazio, midfielder, 31
Luiz Felipe, Lazio, defender, 10
Lukaku R, Inter, forward, 44
Lukic, Torino, midfielder, 13
Lulic, Lazio, defender, 14
Luperto, Crotone, defender, 5
Luvumbo, Cagliari, forward, 1
Lyanco, Torino, defender, 6
Lykogiannis, Cagliari, defender, 10
Maehle, Atalanta, defender, 10
Magallan, Crotone, defender, 5
Maggio, Benevento, defender, 7
Maggiore, Spezia, midfielder, 10
Magnanelli, Sassuolo, midfielder, 5
Magnani, Verona, defender, 7
Makengo, Udinese, midfielder, 6
Maksimovic, Napoli, defender, 8
Malcuit, Napoli, defender, 5
Maldini D, Milan, midfielder, 1
Males, Genoa, forward, 6
Malinovskyi, Atalanta, midfielder, 23
Mancini, Roma, defender, 18
Mandragora, Udinese, midfielder, 10
Manfredini, Benevento, goalkeeper, 1
Manolas, Napoli, defender, 16
Marchetti, Genoa, goalkeeper, 2
Marchizza, Spezia, defender, 6
Marin R, Cagliari, midfielder, 11
Mario Rui, Napoli, defender, 11
Marlon, Sassuolo, defender, 7
Marrone, Crotone, defender, 5
Martinez L, Inter, forward, 34
Martinez Q, Fiorentina, defender, 8
Marusic, Lazio, defender, 9
Masiello A, Genoa, defender, 7
Mastinu, Spezia, midfielder, 9
Mattiello, Spezia, defender, 6
Mayoral, Roma, forward, 19
Mazzotta, Crotone, defender, 4
Mbaye, Bologna, defender, 4
McKennie, Juventus, midfielder, 19
Medel, Bologna, midfielder, 10
Meite, Torino, midfielder, 11
Melegoni, Genoa, midfielder, 4
Meret, Napoli, goalkeeper, 8
Mertens, Napoli, forward, 31
Messias, Crotone, forward, 23
Micin, Udinese, forward, 2
Miguel Veloso, Verona, midfielder, 18
Mihaila, Parma, forward, 5
Milenkovic, Fiorentina, defender, 18
Milik, Napoli, forward, 23
Milinkovic-Savic, Lazio, midfielder, 30
Milinkovic-Savic V, Torino, goalkeeper, 2
Miranchuk, Atalanta, midfielder, 21
Mirante, Roma, goalkeeper, 8
Mkhitaryan, Roma, midfielder, 39
Mojica, Atalanta, defender, 6
Molina, Crotone, midfielder, 11
Molina N, Udinese, defender, 6
Moncini, Benevento, forward, 11
Montiel, Fiorentina, midfielder, 1
Montipo', Benevento, goalkeeper, 13
Mora, Spezia, midfielder, 6
Morata, Juventus, forward, 28
Moro R, Lazio, forward, 1
Muldur, Sassuolo, defender, 10
Muriel, Atalanta, forward, 39
Muriqi, Lazio, forward, 15
Murru, Torino, defender, 5
Musacchio, Milan, defender, 6
Musso, Udinese, goalkeeper, 15
Mustacchio, Crotone, midfielder, 6
Nainggolan, Cagliari, midfielder, 21
Nandez, Cagliari, midfielder, 16
Nestorovski, Udinese, forward, 13
Nkoulou, Torino, defender, 14
Nuytinck, Udinese, defender, 10
Nzola, Spezia, forward, 27
Obiang, Sassuolo, midfielder, 8
Oddei, Sassuolo, forward, 1
Okaka, Udinese, forward, 18
Oliva, Cagliari, midfielder, 6
Orsolini, Bologna, forward, 22
Osimhen, Napoli, forward, 28
Osorio Y, Parma, defender, 8
Ospina, Napoli, goalkeeper, 17
Ounas, Cagliari, forward, 14
Ouwejan, Udinese, defender, 7
Padelli, Inter, goalkeeper, 1
Pagliuca M, Bologna, forward, 1
Pajac, Cagliari, defender, 3
Palacio, Bologna, forward, 16
Paleari, Genoa, goalkeeper, 2
Palomino, Atalanta, defender, 14
Palumbo, Udinese, midfielder, 1
Pandev, Genoa, forward, 17
Pandur, Verona, goalkeeper, 1
Parigini, Genoa, forward, 5
Parolo, Lazio, midfielder, 11
Pasalic, Atalanta, midfielder, 23
Pastina, Benevento, defender, 1
Pastore, Roma, midfielder, 9
Patric, Lazio, defender, 7
Pau Lopez, Roma, goalkeeper, 18
Pavoletti, Cagliari, forward, 17
Paz, Bologna, defender, 8
Pedro R, Roma, forward, 22
Pegolo, Sassuolo, goalkeeper, 2
Pellegrini, Roma, midfielder, 24
Pellegrini Lu, Genoa, defender, 9
Peluso, Sassuolo, defender, 3
Pereira A, Lazio, midfielder, 13
Pereira P, Crotone, defender, 7
Pereiro G, Cagliari, forward, 11
Pereyra, Udinese, midfielder, 17
Perez C, Roma, forward, 15
Perin, Genoa, goalkeeper, 13
Perisic, Inter, forward, 15
Pessina, Atalanta, midfielder, 17
Petagna, Napoli, forward, 20
Petriccione, Crotone, midfielder, 5
Pezzella, Parma, defender, 7
Pezzella G, Fiorentina, defender, 14
Piccini, Atalanta, defender, 7
Piccinini, Sassuolo, defender, 1
Piccoli, Spezia, forward, 7
Pinamonti, Inter, forward, 12
Pinsoglio, Juventus, goalkeeper, 1
Pisacane, Cagliari, defender, 7
Pjaca, Genoa, forward, 13
Pobega, Spezia, midfielder, 13
Poli, Bologna, midfielder, 11
Politano, Napoli, midfielder, 19
Portanova, Juventus, midfielder, 2
Prodl, Udinese, defender, 4
Proto, Lazio, goalkeeper, 1
Provedel, Spezia, goalkeeper, 9
Pulgar, Fiorentina, midfielder, 17
Pussetto, Udinese, forward, 17
Quagliarella, Sampdoria, forward, 28
R Vieira, Verona, midfielder, 7
Rabbi, Bologna, forward, 1
Rabiot, Juventus, midfielder, 14
Radovanovic, Genoa, midfielder, 7
Radu, Lazio, defender, 9
Radu I, Inter, goalkeeper, 1
Rafael, Spezia, goalkeeper, 1
Ramirez, Sampdoria, midfielder, 14
Ramos J, Spezia, defender, 2
Ramsey, Juventus, midfielder, 18
Ranocchia, Inter, defender, 7
Raspadori, Sassuolo, forward, 12
Ravaglia, Sampdoria, goalkeeper, 1
Ravaglia F, Bologna, goalkeeper, 1
Rebic, Milan, forward, 27
Reca, Crotone, defender, 11
Regini, Sampdoria, defender, 3
Reina, Lazio, goalkeeper, 9
Ribery, Fiorentina, forward, 22
Ricci G, Parma, defender, 2
Ricci M, Spezia, midfielder, 10
Rinaldi, Parma, goalkeeper, 1
Rincon, Torino, midfielder, 12
Rispoli, Crotone, defender, 7
Riviere, Crotone, forward, 13
Rocha, Sampdoria, defender, 1
Rodriguez R, Torino, defender, 9
Rog, Cagliari, midfielder, 13
Rogerio, Sassuolo, defender, 8
Rojas, Crotone, midfielder, 1
Romagna, Sassuolo, defender, 5
Romagnoli A, Milan, defender, 16
Romero A, Crotone, midfielder, 3
Romero C, Atalanta, defender, 10
Rosati, Torino, goalkeeper, 1
