Elmas, Napoli, centrocampista, 13
Eriksen, Inter, centrocampista, 21
Erlic, Spezia, difensore, 5
Escalante, Lazio, centrocampista, 8
Estevez, Spezia, centrocampista, 8
Eysseric, Fiorentina, centrocampista, 6
Fabian Ruiz, Napoli, centrocampista, 17
Farago', Cagliari, difensore, 7
Faraoni, Verona, difensore, 16
Farelli, Roma, portiere, 1
Fares, Lazio, difensore, 7
Farias, Spezia, attaccante, 13
Favilli, Verona, attaccante, 13
Fazio, Roma, difensore, 10
Ferigra, Torino, difensore, 1
Ferrari A, Sampdoria, difensore, 5
Ferrari G, Sassuolo, difensore, 11
Ferrer, Spezia, difensore, 5
Festa, Crotone, portiere, 1
Forestieri, Udinese, attaccante, 12
Foulon, Benevento, difensore, 5
Frabotta, Juventus, difensore, 5
Freuler, Atalanta, centrocampista, 22
Fuzato, Roma, portiere, 1
Gabbia, Milan, difensore, 5
Gabbiadini, Sampdoria, attaccante, 20
Gagliardini, Inter, centrocampista, 15
Gagliolo, Parma, difensore, 14
Galabinov, Spezia, attaccante, 14
Gasparini, Udinese, portiere, 1
Gazzola, Parma, difensore, 3
Gervinho, Parma, attaccante, 24
Ghiglione, Genoa, difensore, 9
Ghoulam, Napoli, difensore, 12
Glik, Benevento, difensore, 12
Godin, Cagliari, difensore, 17
Gojak, Torino, centrocampista, 11
Goldaniga, Genoa, difensore, 8
Golemic, Crotone, difensore, 10
Gollini, Atalanta, portiere, 21
Gomelt, Crotone, centrocampista, 2
Gomez A, Atalanta, centrocampista, 29
Gori, Benevento, portiere, 1
Gosens, Atalanta, difensore, 32
Grassi, Parma, centrocampista, 7
Gunter, Verona, difensore, 8
Gyabuaa, Atalanta, centrocampista, 1
Gyasi, Spezia, attaccante, 12
Hakimi, Inter, difensore, 33
Handanovic, Inter, portiere, 20
Haraslin, Sassuolo, attaccante, 8
Hateboer, Atalanta, difensore, 17
Hauge, Milan, attaccante, 12
Henrique E, Crotone, centrocampista, 6
Hernandez T, Milan, difensore, 30
Hernani, Parma, centrocampista, 13
Hetemaj, Benevento, centrocampista, 8
Hickey, Bologna, difensore, 6
Hoedt, Lazio, difensore, 6
Hysaj, Napoli, difensore, 10
Iacoponi, Parma, difensore, 8
Iago Falque, Benevento, attaccante, 17
Ibanez, Roma, difensore, 9
Ibrahimovic, Milan, attaccante, 45
Igor, Fiorentina, difensore, 9
Ilic, Verona, centrocampista, 7
Ilicic, Atalanta, attaccante, 35
Immobile, Lazio, attaccante, 46
Improta, Benevento, centrocampista, 11
Inglese, Parma, attaccante, 14
Insigne, Napoli, attaccante, 33
Insigne R, Benevento, attaccante, 15
Ionita, Benevento, centrocampista, 10
Ismajli, Spezia, difensore, 5
Izzo, Torino, difensore, 18
Jajalo, Udinese, centrocampista, 7
Jankto, Sampdoria, centrocampista, 20
Joao Pedro, Cagliari, attaccante, 34
Jocic, Verona, centrocampista, 1
Juan Jesus, Roma, difensore, 4
Juwara, Bologna, attaccante, 4
Kalinic, Verona, attaccante, 17
Kalulu, Milan, difensore, 5
Karamoh, Parma, attaccante, 10
Karsdorp, Roma, difensore, 10
Keita B, Sampdoria, attaccante, 18
Kessie, Milan, centrocampista, 27
Khailoti, Bologna, difensore, 1
Khedira, Juventus, centrocampista, 8
Kingsley, Bologna, centrocampista, 1
Kiyine, Lazio, centrocampista, 6
Kjaer, Milan, difensore, 14
Klavan, Cagliari, difensore, 6
Kolarov, Inter, difensore, 19
Kouame, Fiorentina, attaccante, 16
Koulibaly, Napoli, difensore, 17
Krapikas, Spezia, portiere, 1
Krunic, Milan, centrocampista, 7
Kucka, Parma, centrocampista, 19
Kulusevski, Juventus, centrocampista, 28
Kumbulla, Roma, difensore, 15
Kurtic, Parma, centrocampista, 14
Kyriakopoulos, Sassuolo, difensore, 8
La Gumina, Sampdoria, attaccante, 8
Lammers, Atalanta, attaccante, 16
Lapadula, Benevento, attaccante, 19
Laribi, Verona, centrocampista, 5
Larsen, Udinese, difensore, 12
Lasagna, Udinese, attaccante, 18
Laurini, Parma, difensore, 4
Lazovic, Verona, centrocampista, 14
Lazzari M, Lazio, difensore, 15
Leao, Milan, attaccante, 24
Lerager, Genoa, centrocampista, 8
Leris, Sampdoria, centrocampista, 7
Letica, Sampdoria, portiere, 1
Letizia, Benevento, difensore, 16
Linetty, Torino, centrocampista, 13
Llorente, Napoli, attaccante, 10
Lobotka, Napoli, centrocampista, 10
Locatelli M, Sassuolo, centrocampista, 17
Lopez M, Sassuolo, centrocampista, 12
Lovato, Verona, difensore, 4
Lozano, Napoli, attaccante, 27
Lucas Leiva, Lazio, centrocampista, 11
Lucatelli, Benevento, portiere, 1
Luis Alberto, Lazio, centrocampista, 31
Luiz Felipe, Lazio, difensore, 10
Lukaku R, Inter, attaccante, 44
Lukic, Torino, centrocampista, 13
Lulic, Lazio, difensore, 14
Luperto, Crotone, difensore, 5
Luvumbo, Cagliari, attaccante, 1
Lyanco, Torino, difensore, 6
Lykogiannis, Cagliari, difensore, 10
Maehle, Atalanta, difensore, 10
Magallan, Crotone, difensore, 5
Maggio, Benevento, difensore, 7
Maggiore, Spezia, centrocampista, 10
Magnanelli, Sassuolo, centrocampista, 5
Magnani, Verona, difensore, 7
Makengo, Udinese, centrocampista, 6
Maksimovic, Napoli, difensore, 8
Malcuit, Napoli, difensore, 5
Maldini D, Milan, centrocampista, 1
Males, Genoa, attaccante, 6
Malinovskyi, Atalanta, centrocampista, 23
Mancini, Roma, difensore, 18
Mandragora, Udinese, centrocampista, 10
Manfredini, Benevento, portiere, 1
Manolas, Napoli, difensore, 16
Marchetti, Genoa, portiere, 2
Marchizza, Spezia, difensore, 6
Marin R, Cagliari, centrocampista, 11
Mario Rui, Napoli, difensore, 11
Marlon, Sassuolo, difensore, 7
Marrone, Crotone, difensore, 5
Martinez L, Inter, attaccante, 34
Martinez Q, Fiorentina, difensore, 8
Marusic, Lazio, difensore, 9
Masiello A, Genoa, difensore, 7
Mastinu, Spezia, centrocampista, 9
Mattiello, Spezia, difensore, 6
Mayoral, Roma, attaccante, 19
Mazzotta, Crotone, difensore, 4
Mbaye, Bologna, difensore, 4
McKennie, Juventus, centrocampista, 19
Medel, Bologna, centrocampista, 10
Meite, Torino, centrocampista, 11
Melegoni, Genoa, centrocampista, 4
Meret, Napoli, portiere, 8
Mertens, Napoli, attaccante, 31
Messias, Crotone, attaccante, 23
Micin, Udinese, attaccante, 2
