Data;Token;Prezzo_USD
2025-12-13;XRP;2.01
2025-12-14;XRP;2.02
2025-12-15;XRP;1.98
2025-12-16;XRP;1.90
2025-12-17;XRP;1.93
2025-12-18;XRP;1.86
2025-12-19;XRP;1.81
2025-12-20;XRP;1.91
2025-12-21;XRP;1.93
2025-12-22;XRP;1.92
2025-12-23;XRP;1.90
2025-12-24;XRP;1.87
2025-12-25;XRP;1.86
2025-12-26;XRP;1.83
2025-12-27;XRP;1.84
2025-12-28;XRP;1.87
2025-12-29;XRP;1.86
2025-12-30;XRP;1.85
2025-12-31;XRP;1.87
2026-01-01;XRP;1.84
2026-01-02;XRP;1.88
2026-01-03;XRP;2.01
2026-01-04;XRP;2.02
2026-01-05;XRP;2.09
2026-01-06;XRP;2.35
2025-11-01;SOL;185.94
2025-11-02;SOL;186.36
2025-11-03;SOL;187.67
2025-11-04;SOL;165.93
2025-11-05;SOL;155.51
2025-11-06;SOL;162.65
2025-11-07;SOL;154.85
2025-11-08;SOL;161.88
2025-11-09;SOL;158.16
2025-11-10;SOL;164.27
2025-11-11;SOL;167.38
2025-11-12;SOL;154.66
2025-11-13;SOL;153.26
2025-11-14;SOL;144.60
2025-11-15;SOL;139.00
2025-11-16;SOL;139.59
2025-11-17;SOL;137.50
2025-11-18;SOL;130.69
2025-11-19;SOL;140.60
2025-11-20;SOL;136.72
2025-11-21;SOL;133.60
2025-11-22;SOL;128.76
2025-11-23;SOL;127.55
2025-11-24;SOL;130.85
2025-11-25;SOL;138.37
2025-11-26;SOL;139.01
2025-11-27;SOL;142.92
2025-11-28;SOL;140.85
2025-11-29;SOL;137.40
2025-11-30;SOL;136.09
2025-12-01;SOL;133.83
2025-12-02;SOL;126.75
2025-12-03;SOL;138.67
2025-12-04;SOL;144.83
2025-12-05;SOL;139.00
2025-12-06;SOL;133.20
2025-12-07;SOL;132.21
2025-12-08;SOL;131.96
2025-12-09;SOL;133.23
2025-12-10;SOL;137.89
2025-12-11;SOL;136.37
2025-12-12;SOL;136.47
2025-12-13;SOL;132.47
2025-12-14;SOL;133.17
2025-12-15;SOL;129.50
2025-12-16;SOL;127.72
2025-12-17;SOL;129.10
2025-12-18;SOL;123.17
2025-12-19;SOL;119.47
2025-12-20;SOL;126.19
2025-12-21;SOL;125.79
2025-12-22;SOL;126.02
